
 List REQ: 
id	srcNode	timeArrival	workLoad	
136	4	35.0	80
137	4	36.0	60
138	4	37.0	80
139	4	38.0	60
140	4	39.0	40
141	4	40.0	80
142	4	41.0	40
143	4	42.0	30
144	4	43.0	60
145	4	44.0	30
146	4	45.0	60
147	4	46.0	40
148	4	47.0	60
149	4	48.0	60
150	4	49.0	30
151	4	50.0	40
152	4	51.0	24
153	4	52.0	60
154	4	53.0	24
155	4	54.0	80
156	4	55.0	40
157	4	56.0	60
158	4	57.0	24
159	4	58.0	24
160	4	59.0	60
161	4	60.0	24
162	4	61.0	30
163	4	62.0	24
164	4	63.0	80
165	4	64.0	30
166	4	65.0	40
167	4	66.0	24
168	4	67.0	40
169	4	68.0	60
170	4	69.0	60
171	4	70.0	30
172	4	71.0	24
173	4	72.0	40
174	4	73.0	60
175	4	74.0	60
176	4	75.0	40
177	4	76.0	60
178	4	77.0	40
179	4	78.0	60
180	4	79.0	30
181	4	80.0	60
182	4	81.0	60
183	4	82.0	60
184	4	83.0	60
185	4	84.0	30
186	4	85.0	60
187	4	86.0	60
188	4	87.0	80
189	4	88.0	30
190	4	89.0	24
191	4	90.0	60
192	4	91.0	24
193	4	92.0	30
194	4	93.0	80
195	4	94.0	40
196	4	95.0	60
197	4	96.0	30
198	4	97.0	24
199	4	98.0	40
200	4	99.0	30
201	5	0.0	24
202	5	1.0	60
203	5	2.0	60
204	5	3.0	80
205	5	4.0	80
206	5	5.0	24
207	5	6.0	60
208	5	7.0	60
209	5	8.0	40
210	5	9.0	30
211	5	10.0	40
212	5	11.0	30
213	5	12.0	60
214	5	13.0	60
215	5	14.0	24
216	5	15.0	30
217	5	16.0	60
218	5	17.0	60
219	5	18.0	80
220	5	19.0	40
221	5	20.0	24
222	5	21.0	30
223	5	22.0	30
224	5	23.0	24
225	5	24.0	30
226	5	25.0	80
227	5	26.0	30
228	5	27.0	80
229	5	28.0	80
230	5	29.0	30
231	5	30.0	30
232	5	31.0	60
233	5	32.0	40
234	5	33.0	30
235	5	34.0	40
236	5	35.0	40
237	5	36.0	24
238	5	37.0	60
239	5	38.0	80
240	5	39.0	24
241	5	40.0	30
242	5	41.0	40
243	5	42.0	80
244	5	43.0	60
245	5	44.0	40
246	5	45.0	60
247	5	46.0	30
248	5	47.0	80
249	5	48.0	30
250	5	49.0	30
251	5	50.0	80
252	5	51.0	40
253	5	52.0	80
254	5	53.0	30
255	5	54.0	40
256	5	55.0	60
257	5	56.0	40
258	5	57.0	30
259	5	58.0	60
260	5	59.0	40
261	5	60.0	30
262	5	61.0	80
263	5	62.0	60
264	5	63.0	30
265	5	64.0	30
266	5	65.0	60
267	5	66.0	24
268	5	67.0	30
269	5	68.0	30
270	5	69.0	40
271	5	70.0	60
272	5	71.0	24
273	5	72.0	80
274	5	73.0	80
275	5	74.0	60
276	5	75.0	40
277	5	76.0	24
278	5	77.0	40
279	5	78.0	24
280	5	79.0	60
281	5	80.0	60
282	5	81.0	30
283	5	82.0	40
284	5	83.0	24
285	5	84.0	40
286	5	85.0	24
287	5	86.0	60
288	5	87.0	80
289	5	88.0	80
290	5	89.0	60
291	5	90.0	30
292	5	91.0	80
293	5	92.0	24
294	5	93.0	60
295	5	94.0	60
296	5	95.0	40
297	5	96.0	30
298	5	97.0	60
299	5	98.0	80
300	5	99.0	80
301	6	0.0	80
302	6	1.0	80
303	6	2.0	80
304	6	3.0	80
305	6	4.0	80
306	6	5.0	80
307	6	6.0	80
308	6	7.0	80
309	6	8.0	80
310	6	9.0	80
311	6	10.0	80
312	6	11.0	80
313	6	12.0	80
314	6	13.0	80
315	6	14.0	80
316	6	15.0	80
317	6	16.0	80
318	6	17.0	80
319	6	18.0	80
320	6	19.0	80
321	6	20.0	80
322	6	21.0	80
323	6	22.0	80
324	6	23.0	80
325	6	24.0	80
326	6	25.0	80
327	6	26.0	80
328	6	27.0	80
329	6	28.0	80
330	6	29.0	80
331	6	30.0	80
332	6	31.0	80
333	6	32.0	80
334	6	33.0	80
335	6	34.0	80
336	6	35.0	80
337	6	36.0	80
338	6	37.0	80
339	6	38.0	80
340	6	39.0	80
341	6	40.0	80
342	6	41.0	80
343	6	42.0	80
344	6	43.0	80
345	6	44.0	80
346	6	45.0	80
347	6	46.0	80
348	6	47.0	80
349	6	48.0	80
350	6	49.0	80
351	6	50.0	80
352	6	51.0	80
353	6	52.0	80
354	6	53.0	80
355	6	54.0	80
356	6	55.0	80
357	6	56.0	80
358	6	57.0	80
359	6	58.0	80
360	6	59.0	80
361	6	60.0	80
362	6	61.0	80
363	6	62.0	80
364	6	63.0	80
365	6	64.0	80
366	6	65.0	80
367	6	66.0	80
368	6	67.0	80
369	6	68.0	80
370	6	69.0	80
371	6	70.0	80
372	6	71.0	80
373	6	72.0	80
374	6	73.0	80
375	6	74.0	80
376	6	75.0	80
377	6	76.0	80
378	6	77.0	80
379	6	78.0	80
380	6	79.0	80
381	6	80.0	80
382	6	81.0	80
383	6	82.0	80
384	6	83.0	80
385	6	84.0	80
386	6	85.0	80
387	6	86.0	80
388	6	87.0	80
389	6	88.0	80
390	6	89.0	80
391	6	90.0	80
392	6	91.0	80
393	6	92.0	80
394	6	93.0	80
395	6	94.0	80
396	6	95.0	80
397	6	96.0	80
398	6	97.0	80
399	6	98.0	80
400	6	99.0	80
